No,HGAL,SP-1A,SP-2A,SP-6B,SP-1C,SP-2C,BLCLpredict,Monocytepredict,NKG2A,3D12 MFI
209,CAR33080,1,1,1,1,0,17.6373,16.2547,22.818,29.133
210,CAR33094,1,1,1,1,0,17.6373,16.2547,30.15,27.624
211,CAR25154,0,2,0,2,0,23.5416,18.8324,30.88,20.922
212,CAR25533,0,2,0,2,0,23.5416,18.8324,37.773,34.336
213,CAR25546,0,2,0,2,0,23.5416,18.8324,32.893,25.596
214,CAR26221,0,2,0,2,0,23.5416,18.8324,35.978,22.649
215,CAR27395,0,2,0,2,0,23.5416,18.8324,35.345,22.647
216,CAR29564,0,2,0,2,0,23.5416,18.8324,37.71,25.887
217,CAR29590,0,2,0,2,0,23.5416,18.8324,11.733,15.109
218,CAR30552,0,2,0,2,0,23.5416,18.8324,30.053,20.246
221,CAR24563,0,1,0,2,0,24.7811,19.34,30.068,19.707
222,CAR25535,0,1,0,2,0,24.7811,19.34,38.655,21.038
223,CAR26214,0,1,0,2,0,24.7811,19.34,23.345,22.541
224,CAR26229,0,1,0,2,0,24.7811,19.34,26.918,20.5
225,CAR28928,0,1,0,2,0,24.7811,19.34,26.403,22.184
226,CAR30505,0,1,0,2,0,24.7811,19.34,24.658,21.178
227,CAR30510,0,1,0,2,0,24.7811,19.34,17.045,16.765
228,CAR30520,0,1,0,2,0,24.7811,19.34,36.328,17.251
229,CAR30564,0,1,0,2,0,24.7811,19.34,25.415,12.15
230,CAR33962,0,1,0,2,0,24.7811,19.34,29.165,27.608
231,66K00182,0,2,1,1,0,14.6912,14.867,12.968,17.709
232,66K00464,0,2,1,1,0,14.6912,14.867,12.303,22.785
233,66K00531,0,2,1,1,0,14.6912,14.867,11.75,19.447
234,66K00627,0,2,1,1,0,14.6912,14.867,11.953,22.635
235,CAR28885,0,2,1,1,0,14.6912,14.867,11.385,27.561
236,CAR33068,0,2,1,1,0,14.6912,14.867,19.045,25.049
237,CAR33076,0,2,1,1,0,14.6912,14.867,22.87,22.503
238,CAR34287,0,2,1,1,0,14.6912,14.867,15.968,23.747
239,CAR34697,0,2,1,1,0,14.6912,14.867,10.72,14.348
240,CAR49554,0,2,1,1,0,14.6912,14.867,13.445,15.757
241,CAR08415,0,2,0,1,0,18.4713,16.8486,21.005,21.382
242,CAR18191,0,2,0,1,0,18.4713,16.8486,15.238,22.063
243,CAR18208,0,2,0,1,0,18.4713,16.8486,20.038,15.482
245,CAR25523,0,2,0,1,0,18.4713,16.8486,28.878,29.824
