Cell Preparation,Stoichiometry,Cytokine conditioning,Donor,Time,IFNg,IL-10,IL-17a,IL-2,IL-4,IL-6,TNF
With bystander,1:1,No cytokine,278,30.0,1.2563935788623802e-08,1.8424604662022195e-08,8.536235005092829e-08,2.143538663315506e-08,6.66068645433638e-09,3.721691416195774e-07,3.8406756816293866e-08
With bystander,1:1,No cytokine,278,36.0,2.2183264726300864e-08,1.7379799437984693e-08,8.536235005092829e-08,3.440228531294497e-08,6.66068645433638e-09,3.188266594835425e-07,5.2104465818206266e-08
With bystander,1:1,No cytokine,278,42.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.880464960753128e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,278,48.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.753064701765592e-08,6.66068645433638e-09,2.533200812900465e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,278,60.0,1.4949258238249774e-08,1.0192396482597071e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.813841720986877e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,278,72.0,1.2563935788623802e-08,1.0463821787596514e-08,8.536235005092829e-08,3.7913847988065725e-08,6.66068645433638e-09,2.4953087944101845e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,1.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.5739371858838795e-08,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,3.0,2.4683674809394876e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,6.808749718633566e-08,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,6.0,3.047199711809565e-08,1.4615428666932267e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.524663927833533e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,12.0,1.2563935788623802e-08,1.2752383417758021e-08,8.536235005092829e-08,2.0004433521445573e-08,6.66068645433638e-09,3.972830572735511e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,18.0,1.8027871269858152e-08,1.14100251988982e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.856121758976612e-07,3.684431542634806e-08
With bystander,1:1,No cytokine,279,24.0,1.6399214029693407e-08,1.5012428694634835e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.7668137086357254e-07,5.359203366775783e-08
With bystander,1:1,No cytokine,279,30.0,1.3897539021292941e-08,1.1679342559929229e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.684383659732412e-07,3.9960040808172215e-08
With bystander,1:1,No cytokine,279,36.0,1.2615572469350787e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.710308547633853e-07,3.0800562973453844e-08
With bystander,1:1,No cytokine,279,42.0,1.5157937249862757e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.889234523749285e-09,2.3694995056221364e-07,3.0800562973453844e-08
